DisplayName,DeviceNumber,Type,ByteSize,StartHex,EndHex
2508,2508,EEPROM,1024,0000,03FF
2516,2716,EPROM,2048,0000,07FF
2532,2532,EPROM,4096,0000,0FFF
2564,2564,EEPROM,8192,0000,1FFF
2704,2704,EPROM,512,0000,01FF
2708,2708,EPROM,1024,0000,03FF
2716,2716,EPROM,2048,0000,07FF
2732,2732,EPROM,4096,0000,0FFF
7320,2732,EPROM,4096,0000,0FFF
7321,2732,EPROM,4096,0000,0FFF
732A,2732A,EPROM,4096,0000,0FFF
7127,2708,EPROM,1024,0000,03FF
7128,27128,EPROM,16384,0000,3FFF
764n,2764,EPROM,8192,0000,1FFF
2763,2764,EPROM,8192,0000,1FFF
4816,4816,SRAM,2048,0000,07FF
2816,2816,EEPROM,2048,0000,07FF
8741,8741,Microcontroller (UPI-41),1024,0000,03FF
8748,8748,Microcontroller (MCS-48),2048,0000,07FF
8749,8749,Microcontroller (MCS-48),2048,0000,07FF
8755,8755,EPROM + I/O,8192,0000,1FFF
8764,8764,EPROM,8192,0000,1FFF
751L,8751,Microcontroller (MCS-51),4096,0000,0FFF
751H,8751,Microcontroller (MCS-51),4096,0000,0FFF
